Fund Holdings as of,"28/Sep/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"LMT","LOCKHEED MARTIN CORP","Equity","0.35","345.96","325,973.00","112,773,619.08","112,773,619.08","Industrials","US5398301094","New York Stock Exchange Inc.","United States","USD"
"SLB","SCHLUMBERGER NV","Equity","0.34","60.92","1,821,079.00","110,940,132.68","110,940,132.68","Energy","AN8068571086","New York Stock Exchange Inc.","United States","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.33","116.75","912,290.00","106,509,857.50","106,509,857.50","Industrials","US9113121068","New York Stock Exchange Inc.","United States","USD"
"USB","US BANCORP","Equity","0.33","52.81","2,014,725.00","106,397,627.25","106,397,627.25","Financials","US9029733048","New York Stock Exchange Inc.","United States","USD"
"CVS","CVS HEALTH CORP","Equity","0.33","78.72","1,339,459.00","105,442,212.48","105,442,212.48","Health Care","US1266501006","New York Stock Exchange Inc.","United States","USD"
"NEE","NEXTERA ENERGY INC","Equity","0.32","167.60","620,489.00","103,993,956.40","103,993,956.40","Utilities","US65339F1012","New York Stock Exchange Inc.","United States","USD"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.32","224.24","461,975.00","103,593,274.00","103,593,274.00","Financials","US38141G1040","New York Stock Exchange Inc.","United States","USD"
"SBUX","STARBUCKS CORP","Equity","0.31","56.84","1,775,006.00","100,891,341.04","100,891,341.04","Consumer Discretionary","US8552441094","NASDAQ","United States","USD"
"AXP","AMERICAN EXPRESS","Equity","0.31","106.49","930,933.00","99,135,055.17","99,135,055.17","Financials","US0258161092","New York Stock Exchange Inc.","United States","USD"
"EOG","EOG RESOURCES INC","Equity","0.30","127.57","762,052.00","97,214,973.64","97,214,973.64","Energy","US26875P1012","New York Stock Exchange Inc.","United States","USD"
"BIIB","BIOGEN INC INC","Equity","0.29","353.31","265,037.00","93,640,222.47","93,640,222.47","Health Care","US09062X1037","NASDAQ","United States","USD"
"ANTM","ANTHEM INC","Equity","0.29","274.05","341,509.00","93,590,541.45","93,590,541.45","Health Care","US0367521038","New York Stock Exchange Inc.","United States","USD"
"TJX","TJX INC","Equity","0.29","112.02","825,038.00","92,420,756.76","92,420,756.76","Consumer Discretionary","US8725401090","New York Stock Exchange Inc.","United States","USD"
"BDX","BECTON DICKINSON","Equity","0.28","261.00","352,032.00","91,880,352.00","91,880,352.00","Health Care","US0758871091","New York Stock Exchange Inc.","United States","USD"
"DHR","DANAHER CORP","Equity","0.27","108.66","810,181.00","88,034,267.46","88,034,267.46","Health Care","US2358511028","New York Stock Exchange Inc.","United States","USD"
"AET","AETNA INC","Equity","0.27","202.85","430,362.00","87,298,931.70","87,298,931.70","Health Care","US00817Y1082","New York Stock Exchange Inc.","United States","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.27","150.66","576,953.00","86,923,738.98","86,923,738.98","Information Technology","US0530151036","NASDAQ","United States","USD"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.27","574.00","149,659.00","85,904,266.00","85,904,266.00","Health Care","US46120E6023","NASDAQ","United States","USD"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.26","145.30","580,004.00","84,274,581.20","84,274,581.20","Real Estate","US03027X1000","New York Stock Exchange Inc.","United States","USD"
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.26","83.19","1,003,100.00","83,447,889.00","83,447,889.00","Information Technology","US00507V1098","NASDAQ","United States","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.26","136.19","612,527.00","83,420,052.13","83,420,052.13","Financials","US6934751057","New York Stock Exchange Inc.","United States","USD"
"CELG","CELGENE CORP","Equity","0.26","89.49","925,925.00","82,861,028.25","82,861,028.25","Health Care","US1510201049","NASDAQ","United States","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.26","42.96","1,924,708.00","82,685,455.68","82,685,455.68","Consumer Staples","US6092071058","NASDAQ","United States","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.26","82.17","1,006,137.00","82,674,277.29","82,674,277.29","Energy","US6745991058","New York Stock Exchange Inc.","United States","USD"
"CB","CHUBB LTD","Equity","0.25","133.64","610,035.00","81,525,077.40","81,525,077.40","Financials","CH0044328745","New York Stock Exchange Inc.","United States","USD"
"MS","MORGAN STANLEY","Equity","0.25","46.57","1,744,664.00","81,249,002.48","81,249,002.48","Financials","US6174464486","New York Stock Exchange Inc.","United States","USD"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.25","72.90","1,112,762.00","81,120,349.80","81,120,349.80","Consumer Staples","US9314271084","NASDAQ","United States","USD"
"AGN","ALLERGAN","Equity","0.25","190.48","419,809.00","79,965,218.32","79,965,218.32","Health Care","IE00BY9D5467","New York Stock Exchange Inc.","United States","USD"
"CSX","CSX CORP","Equity","0.25","74.05","1,073,436.00","79,487,935.80","79,487,935.80","Industrials","US1264081035","NASDAQ","United States","USD"
"SCHW","CHARLES SCHWAB CORP","Equity","0.24","49.15","1,582,049.00","77,757,708.35","77,757,708.35","Financials","US8085131055","New York Stock Exchange Inc.","United States","USD"
"RTN","RAYTHEON","Equity","0.24","206.66","374,748.00","77,445,421.68","77,445,421.68","Industrials","US7551115071","New York Stock Exchange Inc.","United States","USD"
"INTU","INTUIT INC","Equity","0.24","227.40","340,337.00","77,392,633.80","77,392,633.80","Information Technology","US4612021034","NASDAQ","United States","USD"
"FDX","FEDEX CORP","Equity","0.24","240.79","320,761.00","77,236,041.19","77,236,041.19","Industrials","US31428X1063","New York Stock Exchange Inc.","United States","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.24","325.88","234,895.00","76,547,582.60","76,547,582.60","Consumer Discretionary","US16119P1084","NASDAQ","United States","USD"
"CL","COLGATE-PALMOLIVE","Equity","0.24","66.95","1,142,909.00","76,517,757.55","76,517,757.55","Consumer Staples","US1941621039","New York Stock Exchange Inc.","United States","USD"
"CME","CME GROUP INC CLASS A","Equity","0.24","170.21","448,113.00","76,273,313.73","76,273,313.73","Financials","US12572Q1058","NASDAQ","United States","USD"
"BLK","BLACKROCK INC","Equity","0.23","471.33","161,423.00","76,083,502.59","76,083,502.59","Financials","US09247X1019","New York Stock Exchange Inc.","United States","USD"
"GD","GENERAL DYNAMICS CORP","Equity","0.23","204.72","366,425.00","75,014,526.00","75,014,526.00","Industrials","US3695501086","New York Stock Exchange Inc.","United States","USD"
"DUK","DUKE ENERGY CORP","Equity","0.23","80.02","937,240.00","74,997,944.80","74,997,944.80","Utilities","US26441C2044","New York Stock Exchange Inc.","United States","USD"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.22","317.37","229,092.00","72,706,928.04","72,706,928.04","Industrials","US6668071029","New York Stock Exchange Inc.","United States","USD"
"SYK","STRYKER CORP","Equity","0.22","177.68","408,404.00","72,565,222.72","72,565,222.72","Health Care","US8636671013","New York Stock Exchange Inc.","United States","USD"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.22","176.75","406,202.00","71,796,203.50","71,796,203.50","Real Estate","US8288061091","New York Stock Exchange Inc.","United States","USD"
"ILMN","ILLUMINA INC","Equity","0.22","367.06","193,405.00","70,991,239.30","70,991,239.30","Health Care","US4523271090","NASDAQ","United States","USD"
"MPC","MARATHON PETROLEUM CORP","Equity","0.22","79.97","881,111.00","70,462,446.67","70,462,446.67","Energy","US56585A1025","New York Stock Exchange Inc.","United States","USD"
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.22","95.01","739,722.00","70,280,987.22","70,280,987.22","Health Care","US30219G1085","NASDAQ","United States","USD"
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.22","38.50","1,819,504.00","70,050,904.00","70,050,904.00","Health Care","US1011371077","New York Stock Exchange Inc.","United States","USD"
"MU","MICRON TECHNOLOGY INC","Equity","0.21","45.23","1,525,956.00","69,018,989.88","69,018,989.88","Information Technology","US5951121038","NASDAQ","United States","USD"
"CI","CIGNA CORP","Equity","0.21","208.25","320,193.00","66,680,192.25","66,680,192.25","Health Care","US1255091092","New York Stock Exchange Inc.","United States","USD"
"NSC","NORFOLK SOUTHERN CORP","Equity","0.21","180.50","368,679.00","66,546,559.50","66,546,559.50","Industrials","US6558441084","New York Stock Exchange Inc.","United States","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.20","192.74","336,241.00","64,807,090.34","64,807,090.34","Health Care","US92532F1003","NASDAQ","United States","USD"
"SPGI","S&P GLOBAL INC","Equity","0.20","195.39","330,894.00","64,653,378.66","64,653,378.66","Financials","US78409V1044","New York Stock Exchange Inc.","United States","USD"
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.20","46.33","1,386,814.00","64,251,092.62","64,251,092.62","Consumer Discretionary","US90130A1016","NASDAQ","United States","USD"
"VLO","VALERO ENERGY CORP","Equity","0.20","113.75","561,996.00","63,927,045.00","63,927,045.00","Energy","US91913Y1001","New York Stock Exchange Inc.","United States","USD"
"DE","DEERE","Equity","0.20","150.33","423,154.00","63,612,740.82","63,612,740.82","Industrials","US2441991054","New York Stock Exchange Inc.","United States","USD"
"PSX","PHILLIPS","Equity","0.20","112.72","561,960.00","63,344,131.20","63,344,131.20","Energy","US7185461040","New York Stock Exchange Inc.","United States","USD"
"EMR","EMERSON ELECTRIC","Equity","0.20","76.58","826,869.00","63,321,628.02","63,321,628.02","Industrials","US2910111044","New York Stock Exchange Inc.","United States","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.19","53.24","1,171,368.00","62,363,632.32","62,363,632.32","Financials","US0268747849","New York Stock Exchange Inc.","United States","USD"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.19","50.99","1,210,372.00","61,716,868.28","61,716,868.28","Financials","US0640581007","New York Stock Exchange Inc.","United States","USD"
"HUM","HUMANA INC","Equity","0.19","338.52","181,256.00","61,358,781.12","61,358,781.12","Health Care","US4448591028","New York Stock Exchange Inc.","United States","USD"
"TGT","TARGET CORP","Equity","0.19","88.21","694,915.00","61,298,452.15","61,298,452.15","Consumer Discretionary","US87612E1064","New York Stock Exchange Inc.","United States","USD"
"MET","METLIFE INC","Equity","0.19","46.72","1,308,905.00","61,152,041.60","61,152,041.60","Financials","US59156R1086","New York Stock Exchange Inc.","United States","USD"
"PX","PRAXAIR INC","Equity","0.19","160.73","378,363.00","60,814,284.99","60,814,284.99","Materials","US74005P1049","New York Stock Exchange Inc.","United States","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.19","111.33","545,799.00","60,763,802.67","60,763,802.67","Real Estate","US22822V1017","New York Stock Exchange Inc.","United States","USD"
"D","DOMINION ENERGY INC","Equity","0.19","70.28","860,154.00","60,451,623.12","60,451,623.12","Utilities","US25746U1097","New York Stock Exchange Inc.","United States","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.18","94.93","629,462.00","59,754,827.66","59,754,827.66","Financials","US14040H1059","New York Stock Exchange Inc.","United States","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.18","77.15","764,451.00","58,977,394.65","58,977,394.65","Information Technology","US1924461023","NASDAQ","United States","USD"
"SO","SOUTHERN","Equity","0.18","43.60","1,334,292.00","58,175,131.20","58,175,131.20","Utilities","US8425871071","New York Stock Exchange Inc.","United States","USD"
"ZTS","ZOETIS INC CLASS A","Equity","0.18","91.56","634,957.00","58,136,662.92","58,136,662.92","Health Care","US98978V1035","New York Stock Exchange Inc.","United States","USD"
"GM","GENERAL MOTORS","Equity","0.18","33.67","1,726,356.00","58,126,406.52","58,126,406.52","Consumer Discretionary","US37045V1008","New York Stock Exchange Inc.","United States","USD"
"ITW","ILLINOIS TOOL INC","Equity","0.18","141.12","405,925.00","57,284,136.00","57,284,136.00","Industrials","US4523081093","New York Stock Exchange Inc.","United States","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.17","74.89","756,030.00","56,619,086.70","56,619,086.70","Financials","US45866F1049","New York Stock Exchange Inc.","United States","USD"
"PLD","PROLOGIS REIT INC","Equity","0.17","67.79","828,252.00","56,147,203.08","56,147,203.08","Real Estate","US74340W1036","New York Stock Exchange Inc.","United States","USD"
"EXC","EXELON CORP","Equity","0.17","43.66","1,270,836.00","55,484,699.76","55,484,699.76","Utilities","US30161N1019","New York Stock Exchange Inc.","United States","USD"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.17","101.32","547,105.00","55,432,678.60","55,432,678.60","Financials","US7443201022","New York Stock Exchange Inc.","United States","USD"
"MMC","MARSH & MCLENNAN INC","Equity","0.17","82.72","665,653.00","55,062,816.16","55,062,816.16","Financials","US5717481023","New York Stock Exchange Inc.","United States","USD"
"PGR","PROGRESSIVE CORP","Equity","0.17","71.04","767,181.00","54,500,538.24","54,500,538.24","Financials","US7433151039","New York Stock Exchange Inc.","United States","USD"
"HPQ","HP INC","Equity","0.17","25.77","2,081,967.00","53,652,289.59","53,652,289.59","Information Technology","US40434L1052","New York Stock Exchange Inc.","United States","USD"
"ECL","ECOLAB INC","Equity","0.16","156.78","334,495.00","52,442,126.10","52,442,126.10","Materials","US2788651006","New York Stock Exchange Inc.","United States","USD"
"KMB","KIMBERLY CLARK CORP","Equity","0.16","113.64","456,408.00","51,866,205.12","51,866,205.12","Consumer Staples","US4943681035","New York Stock Exchange Inc.","United States","USD"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.16","77.09","653,725.00","50,395,660.25","50,395,660.25","Health Care","US0718131099","New York Stock Exchange Inc.","United States","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.15","132.03","378,920.00","50,028,807.60","50,028,807.60","Consumer Discretionary","US5719032022","NASDAQ","United States","USD"
"AMAT","APPLIED MATERIAL INC","Equity","0.15","38.65","1,293,314.00","49,986,586.10","49,986,586.10","Information Technology","US0382221051","NASDAQ","United States","USD"
"HCA","HCA HEALTHCARE INC","Equity","0.15","139.12","355,128.00","49,405,407.36","49,405,407.36","Health Care","US40412C1018","New York Stock Exchange Inc.","United States","USD"
"ETN","EATON PLC","Equity","0.15","86.73","569,264.00","49,372,266.72","49,372,266.72","Industrials","IE00B8KQN827","New York Stock Exchange Inc.","United States","USD"
"BBT","BB AND T CORP","Equity","0.15","48.54","1,016,884.00","49,359,549.36","49,359,549.36","Financials","US0549371070","New York Stock Exchange Inc.","United States","USD"
"SHW","SHERWIN WILLIAMS","Equity","0.15","455.21","108,181.00","49,245,073.01","49,245,073.01","Materials","US8243481061","New York Stock Exchange Inc.","United States","USD"
"ROST","ROSS STORES INC","Equity","0.15","99.10","496,430.00","49,196,213.00","49,196,213.00","Consumer Discretionary","US7782961038","NASDAQ","United States","USD"
"AON","AON PLC CLASS A","Equity","0.15","153.78","318,984.00","49,053,359.52","49,053,359.52","Financials","GB00B5BT0K07","New York Stock Exchange Inc.","United States","USD"
"EA","ELECTRONIC ARTS INC","Equity","0.15","120.49","400,382.00","48,242,027.18","48,242,027.18","Information Technology","US2855121099","NASDAQ","United States","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.15","167.05","288,598.00","48,210,295.90","48,210,295.90","Materials","US0091581068","New York Stock Exchange Inc.","United States","USD"
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.15","174.10","275,832.00","48,022,351.20","48,022,351.20","Health Care","US28176E1082","New York Stock Exchange Inc.","United States","USD"
"DAL","DELTA AIR LINES INC","Equity","0.15","57.83","827,716.00","47,866,816.28","47,866,816.28","Industrials","US2473617023","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.15","100.00","47,840,237.00","47,840,237.26","47,840,237.26","Cash and/or Derivatives","-","-","United States","USD"
"AFL","AFLAC INC","Equity","0.15","47.07","1,012,255.00","47,646,842.85","47,646,842.85","Financials","US0010551028","New York Stock Exchange Inc.","United States","USD"
"F","F MOTOR","Equity","0.15","9.25","5,150,768.00","47,644,604.00","47,644,604.00","Consumer Discretionary","US3453708600","New York Stock Exchange Inc.","United States","USD"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.15","215.62","220,855.00","47,620,755.10","47,620,755.10","Consumer Staples","US21036P1084","New York Stock Exchange Inc.","United States","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.15","109.07","431,949.00","47,112,677.43","47,112,677.43","Information Technology","US31620M1062","New York Stock Exchange Inc.","United States","USD"
